prompt,difficulty
"Render an SVG top view of a 2022-era ground-effect Formula 1 car. Show the halo over the cockpit, narrow nose, front wing with four elements, undercut sidepods feeding venturi inlets, and a sculpted rear wing with an open DRS flap plus a beam wing. Depict four exposed 18-inch tires, correct wheelbase proportions, wheel covers, and a visible driver helmet.",medium
"Draw an SVG of a male northern cardinal perched on a thin branch. Show the raised crest, thick conical orange beak, and black facial mask around the bill and throat. Feathers should layer: primaries, secondaries, and coverts. Tail slightly fanned. Feet anisodactyl—three toes forward, one back—gripping the branch. Include subtle feather barbs and bark texture; background muted.",medium
"Generate an SVG cross-section of a chambered nautilus. Show a precise logarithmic spiral shell divided by septa into chambers, with a central siphuncle running through them. The living chamber near the opening contains the animal: hood, eye, and numerous slender tentacles extending outward. Include fine shell ribbing and subtle pearlescent shading. Background should suggest water with gentle gradient bands.",medium
"Produce an SVG of a common octopus investigating a glass jar on the seafloor. Depict eight arms clearly, each with double rows of suckers varying in size. The mantle is rounded, eyes forward-facing with horizontal pupils. Beak hidden beneath arms. One arm should reach into the jar’s mouth, glass reflecting highlights. Add sand ripples, scattered shells, and soft caustic light.",medium
"Inside a late-15th-century Florentine workshop (viewBox 0 0 2000 1200), stage a camera obscura projecting a sunlit street onto a 500x700 mm poplar panel (scaled 1px=1mm). Two-point perspective: horizon y=700; vanishing points at (-2500,700) and (4500,700). Place an apprentice referenced at 7.5 heads tall; head = 1/7.5 of body; elbow at waist; hands = 1/10 of height. Sun at 35° elev, 20° azimuth; use feSpecularLighting with fePointLight matching window coords. Paper notes in mirror-script as textPath on a spiral spline. Oak workbench uses patternUnits='userSpaceOnUse' wood grain, clipped with mask for wear. Metal compasses reflect via feColorMatrix cool highlights; quill nibs use marker-end. Require chiaroscuro via layered radial gradients and cast shadows consistent with vanishing geometry.",hard
"Render a cutaway blueprint of a 1930s bathysphere mid-dive, mixing orthographic overlays with perspective (viewBox 0 0 1800 1200). Pressure hull radius 1500 mm (scale 1px=2mm); wall thickness 38 mm; fused-silica viewport 300 mm diameter, 90 mm thick. Internals: winch drum 800 mm OD, 4:1 gearing; crank links 250 mm center-to-center; gauge needle 60 mm, pivot at true center. Outside, bioluminescent siphonophores use animated stroke-dasharray illusions; water caustics via feTurbulence+feDisplacementMap. Rivets are a symbol reused 240 times with precise polar placement. Lighting: diver’s lamp at 15°, 2300K; apply feSpecularLighting with feSpotLight through the window. Annotate stresses with text-on-path arcs. Simulate condensation as layered blur+morphology droplets; ensure refraction offsets align with viewport curvature.",hard
"Depict a High Gothic cathedral nave at golden hour with rigorous geometry (viewBox 0 0 2200 1200). Nave width:height = 1:2.414; bay spacing = 6 m (scale 1px=50 mm). Pointed arches spring at 1/3 height; rib vaults cross at 2/3 span. Rose window radius 4.5 m; tracery follows 12-fold symmetry; stained glass panels narrate the Tetramorph with iconography accurate to 13th-century France. Two-point perspective: horizon y=620; VPs at (-3000,620) and (5200,620). Sun at 12° elevation west; colored caustics from glass via feColorMatrix spectral split and soft masks on dust rays. Stone ashlar pattern with slight random noise. Choir stalls employ non-scaling-stroke filigree; Latin motto on textPath along archivolt. Require correct occlusion of clustered columns and shadow penumbrae across pews.",hard
"Design a Martian spaceport loading scene with a bipedal cargo mech and dust physics (viewBox 0 0 2100 1200). Atmosphere: butterscotch sky; sun at 25° elevation, hard shadows 0.38g length scaling. Mech proportions: hip height 1.2× torso height; shoulder yaw 45°, elbow 110°, knee 140°; twin hydraulic pistons (Ø80 mm, stroke 300 mm) oppose each joint. Pressed-regolith landing pad shows wheel ruts using height-field mask; dust devils via feTurbulence+feDisplacementMap animated offsets. Heat shimmer above reactor exhaust: subtle feDisplacementMap on background only. Materials: matte ceramic armor (Roughness high), anodized aluminum joints (specular highlights via feSpecularLighting). Use markers for hazard chevrons; label crates with ISO container codes. Perspective: horizon y=580; VP1 (-4000,580), VP2 (4400,580).",hard
"Illustrate an 1890s surgical amphitheatre with precise anatomy yet restrained depiction (viewBox 0 0 2000 1200). Tiered seating uses concentric arcs; riser height 180 mm; tread depth 280 mm. Gas lamps at 3200K create warm top lighting; add feDropShadow for soft penumbrae. On the table, model the upper limb with accurate proportions: humerus ≈ 19% of body height, forearm ≈ 15%; scapular plane angled 30° relative to frontal. Show tendons and muscular origin/insertions schematically (low saturation, no gore), labeled via leader lines with marker-end arrows. Instruments (bone saw, forceps) reflect cool highlights; use non-scaling-stroke for etching. Perspective: single-point, horizon y=950, VP at (1000,950). Include chalk diagrams on slate as white text-on-path curves. Require glass glare simulated by clipped specular streaks.",hard
"Compose a Baroque still life: silver ewer, glass goblet (n≈1.52), peeled lemon, grapes, and velvet drape (viewBox 0 0 1800 1200). Candlelight 1800K at 25° left; add feSpecularLighting with fePointLight, Fresnel-like rim via layered radial gradients. Silverware reflects scene geometry; simulate environment by pre-baked gradient maps and subtle feColorMatrix hue shifts. Lemon peel curls 3 mm thick, 18 mm wide; pith rendered with noise mask. Goblet refraction distorts a vertical grid behind; ensure displacement magnitude matches glass thickness. Dew on grapes as repeated symbols with specular hotspots; micro-scratches via fine stroke-dasharray. Velvet uses a directional anisotropic sheen (approximate with gradient along fiber direction). Tablecloth damask pattern tiled with patternUnits='userSpaceOnUse'. Require shadow color bleed and occlusion contacts correctly layered.",hard
"Create an Edo-period Nihonbashi bridge scene rendered as a woodblock-print-style SVG with a disguised modern drone-kite (viewBox 0 0 2100 1200). Limit palette to 12 flat hues; emulate woodgrain/paper with feTurbulence masked noise. Perspective: low horizon y=780; VP at (1050,780). Bridge arch follows catenary y=a cosh(x/a) with a scaled to 220 px rise over 1600 px span. Kimono patterns respect era-appropriate motifs (seigaiha, asanoha) on pattern fills aligned to body contours. The drone masquerades as a kite: bamboo frame strokes, but faint rotor disks suggested by radial-gradient blur rings (no motion lines crossing the frame). Simulate registration misalignment by offsetting cyan/magenta plates by 1–2 px. River ripples: repeated paths with slight random jitter. Include kanji signage using textPath along noren.",hard
"Cutaway of a 1930s Art Deco ocean liner engine room with turbo-electric drive (viewBox 0 0 2400 1300). Show steam turbine (rotor Ø1800 mm) coupled to generator (stator Ø2200 mm), feeding twin 10 MW motors; belt and shaft centerlines align in perspective. Pipe color coding: steam (red, Ø300 mm), condensate (blue, Ø150 mm), lube oil (yellow, Ø75 mm). Riveted plates use a symbol rivet at 120 mm spacing along curved paths. Illumination 4000K from catwalk fixtures; add metallic highlights via feSpecularLighting with feSpotLight. Include manometers with correct Bourdon-tube needle deflection under nominal 1.2 MPa. Steam plume as feTurbulence+feDisplacementMap composited over background only. Safety signage with DIN 1451 text; ladders 75° pitch. Perspective: two-point; horizon y=640; VPs at (-3800,640) and (5200,640).",hard
"Nighttime natural history museum diorama featuring a Smilodon skeleton and reflective terrazzo floor (viewBox 0 0 2000 1200). Skeleton proportions: canine length ≈ 28 cm, skull length ≈ 30 cm, scapula tall 22 cm; 7 lumbar vertebrae; tail short. Mount rods discretely under mandible and pelvis. Moonlight at 15° right casts cool beams through skylight; dust shafts via masked gradients. Floor reflection uses feDisplacementMap with subtle noise to suggest polish imperfections; intensity drops with distance. Wall plaque microtext 2.2 mm cap height (scale correctly); red security LED with faint bloom. Include janitor silhouette mopping, reflection aligned. Perspective: horizon y=900; VP at (1000,900). Ensure occlusion ordering of ribs, shadows across plinth, and parallax separation of backdrop painting layers.",hard
"Design an Escher-inspired multi-level library that blends 3-point perspective with isometric illusions (viewBox 0 0 2200 1400). Vertical vanishing point at (1100,-2600); horizontals at (-4200,700) and (6400,700). Stairs invert gradients at landings to force perceptual flips; railings maintain constant stroke via vector-effect='non-scaling-stroke'. Shelves: book spines 240 mm tall standard; occasional folios 380 mm; pack ratios realistic. Central brass orrery: planetary radii proportional (not scale distances), with Saturn’s ring ellipticity correct for 35° tilt via skew transform; highlights via feSpecularLighting. Scholars from distinct eras (Togas, abayas, frock coats) reading by green-shaded lamps at 3000K. Latin and Greek quotes as text-on-path along helices. Require cast shadows coherent to all three VPs, and impossible connections hidden by precise layer clipping.",hard
